Date,Flow
1/1/2005,11.145
2/1/2005,11.145
3/1/2005,11.145
4/1/2005,10.947
5/1/2005,10.848
6/1/2005,10.848
7/1/2005,10.848
8/1/2005,10.848
9/1/2005,10.848
10/1/2005,10.848
11/1/2005,10.848
12/1/2005,10.848
13/1/2005,10.848
14/1/2005,10.848
15/1/2005,10.539
16/1/2005,10.539
17/1/2005,10.539
18/1/2005,10.539
19/1/2005,10.539
20/1/2005,10.539
21/1/2005,10.539
22/1/2005,10.539
23/1/2005,11.145
24/1/2005,10.848
25/1/2005,10.848
26/1/2005,10.848
27/1/2005,10.848
28/1/2005,10.848
29/1/2005,10.848
30/1/2005,10.539
31/1/2005,10.539
1/2/2005,10.539
2/2/2005,10.539
3/2/2005,10.539
4/2/2005,10.539
5/2/2005,10.539
6/2/2005,10.539
7/2/2005,10.539
8/2/2005,10.539
9/2/2005,10.539
10/2/2005,10.539
11/2/2005,10.539
12/2/2005,10.539
13/2/2005,10.539
14/2/2005,10.539
15/2/2005,10.539
16/2/2005,10.539
17/2/2005,10.539
18/2/2005,10.539
19/2/2005,10.539
20/2/2005,10.539
21/2/2005,10.539
22/2/2005,10.539
23/2/2005,10.539
24/2/2005,10.539
25/2/2005,10.539
26/2/2005,10.539
27/2/2005,10.539
28/2/2005,10.539
1/3/2005,10.539
2/3/2005,10.539
3/3/2005,10.638
4/3/2005,10.947
5/3/2005,10.947
6/3/2005,10.947
7/3/2005,10.947
8/3/2005,11.145
9/3/2005,11.145
10/3/2005,10.638
11/3/2005,11.244
12/3/2005,10.947
13/3/2005,10.947
14/3/2005,10.329
15/3/2005,10.440
16/3/2005,10.329
17/3/2005,10.947
18/3/2005,10.947
19/3/2005,10.737
20/3/2005,10.539
21/3/2005,10.737
22/3/2005,10.638
23/3/2005,10.848
24/3/2005,11.145
25/3/2005,14.226
26/3/2005,15.463
27/3/2005,15.834
28/3/2005,15.215
29/3/2005,15.586
30/3/2005,15.463
31/3/2005,15.710
1/4/2005,15.586
2/4/2005,14.720
3/4/2005,14.844
4/4/2005,15.339
5/4/2005,14.968
6/4/2005,14.968
7/4/2005,15.957
8/4/2005,15.339
9/4/2005,15.339
10/4/2005,15.710
11/4/2005,15.215
12/4/2005,11.764
13/4/2005,11.764
14/4/2005,11.962
15/4/2005,14.473
16/4/2005,16.081
17/4/2005,16.576
18/4/2005,16.328
19/4/2005,16.081
20/4/2005,16.700
21/4/2005,16.081
22/4/2005,16.081
23/4/2005,16.081
24/4/2005,16.081
25/4/2005,17.071
26/4/2005,16.823
27/4/2005,16.328
28/4/2005,16.081
29/4/2005,15.957
30/4/2005,16.823
1/5/2005,12.865
2/5/2005,13.063
3/5/2005,13.656
4/5/2005,14.052
5/5/2005,13.755
6/5/2005,13.558
7/5/2005,13.459
8/5/2005,13.558
9/5/2005,13.162
10/5/2005,17.912
11/5/2005,28.995
12/5/2005,14.448
13/5/2005,13.459
14/5/2005,13.063
15/5/2005,12.964
16/5/2005,12.865
17/5/2005,12.865
18/5/2005,12.865
19/5/2005,13.558
20/5/2005,13.162
21/5/2005,13.162
22/5/2005,13.063
23/5/2005,12.073
24/5/2005,43.740
25/5/2005,30.480
26/5/2005,18.011
27/5/2005,17.912
28/5/2005,18.802
29/5/2005,17.219
30/5/2005,16.229
31/5/2005,15.735
1/6/2005,15.401
2/6/2005,16.885
3/6/2005,12.339
4/6/2005,13.731
5/6/2005,17.442
6/6/2005,13.174
7/6/2005,13.267
8/6/2005,13.823
9/6/2005,19.854
10/6/2005,15.215
11/6/2005,32.007
12/6/2005,20.132
13/6/2005,23.287
14/6/2005,23.565
15/6/2005,24.956
16/6/2005,43.048
17/6/2005,83.405
18/6/2005,59.190
19/6/2005,47.408
20/6/2005,57.057
21/6/2005,49.356
22/6/2005,63.644
23/6/2005,50.748
24/6/2005,52.975
25/6/2005,52.603
26/6/2005,59.933
27/6/2005,47.222
28/6/2005,39.429
29/6/2005,68.932
30/6/2005,75.797
1/7/2005,56.222
2/7/2005,54.737
3/7/2005,80.993
4/7/2005,69.952
5/7/2005,70.602
6/7/2005,105.114
7/7/2005,82.848
8/7/2005,119.401
9/7/2005,86.188
10/7/2005,106.042
11/7/2005,84.704
12/7/2005,78.673
13/7/2005,107.062
14/7/2005,89.435
15/7/2005,82.477
16/7/2005,85.910
17/7/2005,94.167
18/7/2005,134.709
19/7/2005,106.506
20/7/2005,109.011
